2026-03-05 14:52:17,009 - INFO - Loading train dataset from /home/satria/Project/ATLAS
2026-03-05 14:52:17,009 - INFO - Loaded 3776 raw label strings from train_labels.pkl
2026-03-05 14:52:17,014 - INFO - Parsed 3776 labels
2026-03-05 14:52:27,915 - WARNING - No parquet group for ('video_025', 1183, 'BOT'), skipping
2026-03-05 14:52:27,915 - WARNING - No parquet group for ('video_027', 4, 'BOT'), skipping
2026-03-05 14:52:27,915 - WARNING - No parquet group for ('video_027', 324, 'BOT'), skipping
2026-03-05 14:52:27,915 - WARNING - No parquet group for ('video_027', 465, 'BOT'), skipping
2026-03-05 14:52:27,915 - WARNING - No parquet group for ('video_027', 546, 'BOT'), skipping
2026-03-05 14:52:27,915 - WARNING - No parquet group for ('video_027', 548, 'BOT'), skipping
2026-03-05 14:52:27,915 - WARNING - No parquet group for ('video_027', 559, 'BOT'), skipping
2026-03-05 14:52:27,915 - WARNING - No parquet group for ('video_027', 662, 'BOT'), skipping
2026-03-05 14:52:27,915 - WARNING - No parquet group for ('video_027', 723, 'BOT'), skipping
2026-03-05 14:52:27,915 - WARNING - No parquet group for ('video_027', 774, 'BOT'), skipping
2026-03-05 14:52:27,915 - WARNING - No parquet group for ('video_027', 823, 'BOT'), skipping
2026-03-05 14:52:27,915 - WARNING - No parquet group for ('video_027', 883, 'BOT'), skipping
2026-03-05 14:52:27,915 - WARNING - No parquet group for ('video_027', 889, 'BOT'), skipping
2026-03-05 14:52:27,915 - WARNING - No parquet group for ('video_027', 915, 'BOT'), skipping
2026-03-05 14:52:27,915 - WARNING - No parquet group for ('video_029', 85, 'BOT'), skipping
2026-03-05 14:52:27,915 - WARNING - No parquet group for ('video_029', 666, 'BOT'), skipping
2026-03-05 14:52:27,915 - WARNING - No parquet group for ('video_029', 679, 'BOT'), skipping
2026-03-05 14:52:27,915 - WARNING - No parquet group for ('video_029', 691, 'BOT'), skipping
2026-03-05 14:52:27,915 - WARNING - No parquet group for ('video_029', 850, 'BOT'), skipping
2026-03-05 14:52:27,915 - WARNING - No parquet group for ('video_029', 858, 'BOT'), skipping
2026-03-05 14:52:27,915 - WARNING - No parquet group for ('video_031', 752, 'BOT'), skipping
2026-03-05 14:52:27,915 - WARNING - No parquet group for ('video_031', 1095, 'BOT'), skipping
2026-03-05 14:52:27,915 - WARNING - No parquet group for ('video_031', 1319, 'BOT'), skipping
2026-03-05 14:52:27,915 - WARNING - No parquet group for ('video_031', 1401, 'BOT'), skipping
2026-03-05 14:52:27,915 - WARNING - No parquet group for ('video_031', 1422, 'BOT'), skipping
2026-03-05 14:52:27,915 - WARNING - No parquet group for ('video_031', 1509, 'BOT'), skipping
2026-03-05 14:52:27,915 - WARNING - No parquet group for ('video_031', 1581, 'BOT'), skipping
2026-03-05 14:52:27,915 - WARNING - No parquet group for ('video_033', 422, 'BOT'), skipping
2026-03-05 14:52:27,915 - WARNING - No parquet group for ('video_033', 855, 'BOT'), skipping
2026-03-05 14:52:27,915 - WARNING - No parquet group for ('video_033', 924, 'BOT'), skipping
2026-03-05 14:52:27,915 - WARNING - No parquet group for ('video_033', 1076, 'BOT'), skipping
2026-03-05 14:52:27,915 - WARNING - No parquet group for ('video_033', 1350, 'BOT'), skipping
2026-03-05 14:52:27,915 - WARNING - No parquet group for ('video_035', 3, 'TOP'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_035', 1248, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_037', 5, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_037', 6, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_037', 323, 'TOP'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_037', 1365, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_037', 1549, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_039', 17, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_039', 19, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_039', 413, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_039', 702, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_039', 1307, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_041', 1097, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_041', 1417, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_041', 1435, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_043', 1194, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_043', 1234, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_045', 104, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_047', 328, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_047', 331, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_047', 441, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_049', 55, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_049', 271, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_049', 438, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_049', 439, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_049', 587, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_049', 640, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_049', 656, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_051', 4, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_051', 176, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_051', 225, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_051', 348, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_051', 555, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_051', 758, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_051', 818, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_051', 880, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_053', 482, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_053', 926, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_055', 1, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_055', 3, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_055', 73, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_055', 74, 'BOT'), skipping
2026-03-05 14:52:27,916 - WARNING - No parquet group for ('video_055', 81, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_055', 101, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_055', 112, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_055', 270, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_055', 363, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_055', 366, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_055', 396, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_055', 402, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_055', 416, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_055', 450, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_055', 490, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_055', 507, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_055', 592, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_055', 603, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_055', 605, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_055', 606, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_055', 645, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_055', 800, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_057', 5, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_057', 6, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_057', 234, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_057', 401, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_057', 446, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_057', 482, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_057', 491, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_057', 607, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_057', 778, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_057', 792, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_057', 802, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_057', 826, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_059', 549, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_059', 769, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_063', 80, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_063', 145, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_063', 160, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_063', 235, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_063', 366, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_063', 1008, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_065', 269, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_067', 889, 'TOP'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_067', 1859, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_067', 1885, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_069', 948, 'TOP'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_069', 1926, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_069', 2002, 'BOT'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_071', 26, 'TOP'), skipping
2026-03-05 14:52:27,917 - WARNING - No parquet group for ('video_071', 26, 'BOT'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_071', 53, 'TOP'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_071', 53, 'BOT'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_071', 949, 'BOT'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_071', 969, 'BOT'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_071', 1284, 'BOT'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_073', 762, 'BOT'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_073', 1678, 'BOT'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_075', 242, 'BOT'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_075', 780, 'BOT'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_075', 797, 'BOT'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_075', 1857, 'TOP'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_077', 788, 'TOP'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_077', 821, 'TOP'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_077', 1055, 'BOT'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_077', 1090, 'BOT'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_077', 1170, 'BOT'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_079', 1135, 'BOT'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_079', 1243, 'BOT'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_081', 83, 'BOT'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_081', 94, 'BOT'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_081', 403, 'BOT'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_081', 796, 'BOT'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_081', 864, 'BOT'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_081', 1978, 'BOT'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_083', 26, 'BOT'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_083', 342, 'BOT'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_083', 430, 'BOT'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_083', 1062, 'BOT'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_083', 1076, 'BOT'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_083', 1349, 'BOT'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_083', 1428, 'BOT'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_085', 118, 'BOT'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_085', 817, 'BOT'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_085', 894, 'BOT'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_087', 178, 'BOT'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_087', 257, 'BOT'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_087', 281, 'BOT'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_087', 745, 'BOT'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_087', 1303, 'BOT'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_087', 1708, 'BOT'), skipping
2026-03-05 14:52:27,918 - WARNING - No parquet group for ('video_087', 1909, 'BOT'), skipping
2026-03-05 14:52:27,919 - WARNING - No parquet group for ('video_087', 1958, 'BOT'), skipping
2026-03-05 14:52:27,919 - WARNING - No parquet group for ('video_091', 36, 'BOT'), skipping
2026-03-05 14:52:27,919 - WARNING - No parquet group for ('video_091', 113, 'BOT'), skipping
2026-03-05 14:52:27,919 - WARNING - No parquet group for ('video_091', 253, 'BOT'), skipping
2026-03-05 14:52:27,919 - WARNING - No parquet group for ('video_091', 277, 'BOT'), skipping
2026-03-05 14:52:27,919 - WARNING - No parquet group for ('video_091', 601, 'BOT'), skipping
2026-03-05 14:52:27,919 - WARNING - No parquet group for ('video_091', 776, 'BOT'), skipping
2026-03-05 14:52:27,919 - WARNING - No parquet group for ('video_091', 854, 'BOT'), skipping
2026-03-05 14:52:27,919 - WARNING - No parquet group for ('video_091', 932, 'BOT'), skipping
2026-03-05 14:52:27,919 - WARNING - No parquet group for ('video_091', 966, 'BOT'), skipping
2026-03-05 14:52:27,919 - WARNING - No parquet group for ('video_091', 996, 'BOT'), skipping
2026-03-05 14:52:27,919 - WARNING - No parquet group for ('video_091', 1328, 'BOT'), skipping
2026-03-05 14:52:27,919 - WARNING - No parquet group for ('video_093', 403, 'BOT'), skipping
2026-03-05 14:52:27,919 - WARNING - No parquet group for ('video_093', 1304, 'BOT'), skipping
2026-03-05 14:52:27,919 - WARNING - No parquet group for ('video_093', 1425, 'BOT'), skipping
2026-03-05 14:52:27,919 - WARNING - No parquet group for ('video_093', 1785, 'BOT'), skipping
2026-03-05 14:52:27,919 - WARNING - No parquet group for ('video_095', 1, 'BOT'), skipping
2026-03-05 14:52:27,919 - WARNING - No parquet group for ('video_097', 3, 'TOP'), skipping
